画像番号,傾斜角度,初速,センサ時間,ホップ回転数,検出状態
,°,m/sec,usec,rps,
P1120963,  0.102,  80.06, 149.89,  81.7,Err6
P1120964,  0.102,  80.31, 149.42, ---  ,error
P1120965,  0.136,  80.69, 148.72, ---  ,error
P1120966,  0.136,  80.92, 148.30, ---  ,error
P1120967,  0.102,  80.88, 148.37,  70.7,Err8
P1120968,  0.136,  81.00, 148.14, 134.8,Err3
P1120969,  0.171,  80.92, 148.30, 158.3,Err1
P1120970,  0.068,  81.15, 147.87, 149.3,Err1
P1120972,  0.102,  80.81, 148.50, 152.4,
P1120973,  0.136,  81.38, 147.45, 158.4,Err2
P1120974,  0.068,  75.97, 157.95, 230.3,Err1
P1120975,  0.171,  74.39, 161.31, 241.9,
P1120976,  0.034,  76.11, 157.67, 254.2,
P1120977,  0.137,  76.75, 156.36, 264.4,
P1120978,  0.137,  74.71, 160.62, 264.7,
P1120979,  0.068,  69.58, 172.47, 269.3,
P1120980,  0.137,  70.20, 170.95, 270.8,
P1120981,  0.171,  72.50, 165.52, 289.2,
P1120982,  0.171,  73.66, 162.92, 274.9,
P1120983,  0.103,  73.93, 162.31, 265.8,
P1120984,  0.137,  65.48, 183.27, 296.6,
P1120985,  0.205,  66.94, 179.27, 291.7,
P1120986,  0.205,  68.40, 175.45, 282.8,
P1120987,  0.103,  68.66, 174.77, 284.5,
P1120988,  0.171,  68.97, 173.98, 282.9,
P1120989,  0.103,  58.48, 205.20, 282.1,Err1
P1120990,  0.137,  61.69, 194.53, 310.0,
P1120991,  0.206,  57.92, 207.17, 299.9,
P1120992,  0.171,  56.92, 210.84, 302.8,
P1120996,  0.206,  44.54, 269.41, 271.8,
P1120997,  0.240,  52.06, 230.52, 296.5,
P1120998,  0.240,  44.92, 267.12, 275.3,
P1120999,  0.172,  53.58, 223.95, 278.6,
